"filename", "language", "Python", "HTML", "CSS", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\migrations\0014_auto_20200623_1730.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\migrations\0015_auto_20200623_1743.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\migrations\0016_auto_20200623_1829.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\migrations\0017_auto_20200623_2242.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\migrations\0018_auto_20200701_1411.py", "Python", 18, 0, 0, 0, 0, 0, 1, 6, 25
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\models.py", "Python", 25, 0, 0, 0, 0, 0, 1, 8, 34
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\templates\cal\calendar.html", "HTML", 0, 28, 0, 0, 0, 0, 0, 6, 34
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\templates\cal\delete_event.html", "HTML", 0, 28, 0, 0, 0, 0, 0, 6, 34
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\templates\cal\event.html", "HTML", 0, 45, 0, 0, 0, 0, 0, 7, 52
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\templates\cal\view_event.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 7, 41
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\tests.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\urls.py", "Python", 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\utils.py", "Python", 42, 0, 0, 0, 0, 0, 0, 6, 48
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\cal\views.py", "Python", 162, 0, 0, 0, 0, 0, 1, 31, 194
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\chat\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\chat\admin.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\chat\apps.py", "Python", 3, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\chat\consumers.py", "Python", 30, 0, 0, 0, 0, 0, 6, 8, 44
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\chat\migrations\0001_initial.py", "Python", 18, 0, 0, 0, 0, 0, 1, 7, 26
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\chat\migrations\0002_message_message.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\chat\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\chat\models.py", "Python", 8, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\chat\routing.py", "Python", 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\chat\templates\chat\index.html", "HTML", 0, 49, 0, 0, 0, 0, 0, 10, 59
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\chat\tests.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\chat\urls.py", "Python", 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\chat\views.py", "Python", 20, 0, 0, 0, 0, 0, 1, 7, 28
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\admin.py", "Python", 4, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\apps.py", "Python", 3, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\forms.py", "Python", 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\migrations\0001_initial.py", "Python", 20, 0, 0, 0, 0, 0, 1, 7, 28
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\migrations\0002_auto_20200705_1753.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\migrations\0003_auto_20200705_1951.py", "Python", 23, 0, 0, 0, 0, 0, 1, 6, 30
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\migrations\0004_auto_20200705_2014.py", "Python", 41, 0, 0, 0, 0, 0, 1, 6, 48
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\migrations\0005_auto_20200705_2017.py", "Python", 14, 0, 0, 0, 0, 0, 1, 6, 21
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\migrations\0006_auto_20200705_2120.py", "Python", 13, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\migrations\0007_auto_20200707_1345.py", "Python", 19, 0, 0, 0, 0, 0, 1, 6, 26
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\migrations\0008_post_quote.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\migrations\0009_auto_20200707_2051.py", "Python", 29, 0, 0, 0, 0, 0, 1, 6, 36
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\migrations\0010_auto_20200707_2202.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\migrations\0011_post_edited.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\migrations\0012_auto_20200708_2116.py", "Python", 13, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\migrations\0013_auto_20200708_2120.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\models.py", "Python", 18, 0, 0, 0, 0, 0, 2, 8, 28
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\templates\forum\delete_post.html", "HTML", 0, 25, 0, 0, 0, 0, 0, 6, 31
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\templates\forum\delete_thread.html", "HTML", 0, 25, 0, 0, 0, 0, 0, 6, 31
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\templates\forum\edit_post.html", "HTML", 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\templates\forum\edit_thread.html", "HTML", 0, 31, 0, 0, 0, 0, 0, 6, 37
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\templates\forum\forum.html", "HTML", 0, 77, 0, 0, 0, 0, 0, 10, 87
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\templates\forum\thread.html", "HTML", 0, 110, 0, 0, 0, 0, 0, 11, 121
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\tests.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\urls.py", "Python", 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\forum\views.py", "Python", 224, 0, 0, 0, 0, 0, 6, 51, 281
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\manage.py", "Python", 15, 0, 0, 0, 0, 0, 2, 5, 22
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\admin.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\apps.py", "Python", 3, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\decorators.py", "Python", 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\forms.py", "Python", 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\migrations\0001_initial.py", "Python", 17, 0, 0, 0, 0, 0, 1, 7, 25
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\migrations\0002_todo_added_by.py", "Python", 14, 0, 0, 0, 0, 0, 1, 6, 21
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\migrations\0003_auto_20200528_1840.py", "Python", 14, 0, 0, 0, 0, 0, 1, 6, 21
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\migrations\0004_todo_delete.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\migrations\0005_remove_todo_delete.py", "Python", 11, 0, 0, 0, 0, 0, 1, 6, 18
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\migrations\0006_delete_todo.py", "Python", 10, 0, 0, 0, 0, 0, 1, 6, 17
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\migrations\0007_notification.py", "Python", 18, 0, 0, 0, 0, 0, 1, 7, 26
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\migrations\0008_delete_notification.py", "Python", 10, 0, 0, 0, 0, 0, 1, 6, 17
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\models.py", "Python", 1, 0, 0, 0, 0, 0, 0, 3, 4
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\templates\project\add_members.html", "HTML", 0, 25, 0, 0, 0, 0, 0, 11, 36
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\templates\project\delete_member.html", "HTML", 0, 21, 0, 0, 0, 0, 0, 7, 28
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\templates\project\delete_project.html", "HTML", 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\templates\project\home.html", "HTML", 0, 267, 0, 0, 0, 0, 6, 29, 302
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\templates\project\leave_project.html", "HTML", 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\templates\project\remove_admin.html", "HTML", 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\templates\project\set_admin.html", "HTML", 0, 18, 0, 0, 0, 0, 0, 7, 25
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\tests.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\urls.py", "Python", 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\project\views.py", "Python", 167, 0, 0, 0, 0, 0, 6, 27, 200
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\static\admin\css\autocomplete.css", "CSS", 0, 0, 213, 0, 0, 0, 0, 48, 261
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\static\admin\css\base.css", "CSS", 0, 0, 776, 0, 0, 0, 22, 190, 988
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\static\admin\css\changelists.css", "CSS", 0, 0, 278, 0, 0, 0, 7, 61, 346
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\static\admin\css\dashboard.css", "CSS", 0, 0, 19, 0, 0, 0, 2, 7, 28
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\static\admin\css\fonts.css", "CSS", 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\static\admin\css\forms.css", "CSS", 0, 0, 417, 0, 0, 0, 11, 105, 533
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\static\admin\css\login.css", "CSS", 0, 0, 65, 0, 0, 0, 1, 14, 80
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\static\admin\css\responsive.css", "CSS", 0, 0, 751, 0, 0, 0, 28, 218, 997
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\static\admin\css\responsive_rtl.css", "CSS", 0, 0, 67, 0, 0, 0, 2, 16, 85
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\static\admin\css\rtl.css", "CSS", 0, 0, 199, 0, 0, 0, 10, 61, 270
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\static\admin\css\vendor\select2\LICENSE-SELECT2.md", "Markdown", 0, 0, 0, 0, 0, 17, 0, 5, 22
